,Date,HomeTeam,AwayTeam,FTHG,FTAG,HGFAvg,HGAAvg,AGFAvg,AGAAvg
93,1996-10-19,Middlesbrough,Tottenham,0.0,3.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666
94,1996-10-19,Nott'm Forest,Derby,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666
95,1996-10-19,Sheffield Weds,Blackburn,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0
96,1996-10-19,Southampton,Sunderland,3.0,0.0,2.3333333333333335,0.3333333333333333,0.0,2.0
97,1996-10-19,West Ham,Leicester,1.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666
98,1996-10-20,Newcastle,Man United,5.0,0.0,3.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667
99,1996-10-26,Arsenal,Leeds,3.0,0.0,1.6666666666666667,0.0,0.0,2.0
100,1996-10-26,Chelsea,Tottenham,3.0,1.0,2.0,2.0,1.3333333333333333,1.6666666666666667
101,1996-10-26,Coventry,Sheffield Weds,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.0
102,1996-10-26,Leicester,Newcastle,2.0,0.0,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
103,1996-10-26,Middlesbrough,Wimbledon,0.0,0.0,0.0,1.6666666666666667,2.0,0.6666666666666666
104,1996-10-26,Southampton,Man United,6.0,3.0,4.333333333333333,1.0,1.0,3.6666666666666665
105,1996-10-26,Sunderland,Aston Villa,1.0,0.0,1.3333333333333333,0.6666666666666666,1.0,2.0
106,1996-10-26,West Ham,Blackburn,2.0,1.0,1.3333333333333333,1.0,0.6666666666666666,1.0
107,1996-10-27,Liverpool,Derby,2.0,1.0,3.0,1.0,0.6666666666666666,1.0
108,1996-10-28,Nott'm Forest,Everton,0.0,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667
109,1996-02-11,Aston Villa,Nott'm Forest,2.0,0.0,1.3333333333333333,0.0,0.3333333333333333,1.6666666666666667
110,1996-02-11,Derby,Leicester,2.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333
111,1996-02-11,Leeds,Sunderland,3.0,0.0,1.6666666666666667,0.3333333333333333,0.0,2.6666666666666665
112,1996-02-11,Man United,Chelsea,1.0,2.0,1.3333333333333333,0.6666666666666666,2.0,2.3333333333333335
113,1996-02-11,Sheffield Weds,Southampton,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667
114,1996-02-11,Tottenham,West Ham,1.0,0.0,1.0,0.6666666666666666,1.0,1.0
115,1996-02-11,Wimbledon,Arsenal,2.0,2.0,3.0,1.6666666666666667,2.0,0.6666666666666666
116,1996-03-11,Blackburn,Liverpool,3.0,0.0,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667
117,1996-03-11,Newcastle,Middlesbrough,3.0,1.0,4.0,1.3333333333333333,1.0,3.0
118,1996-04-11,Everton,Coventry,1.0,1.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666
119,1996-11-16,Aston Villa,Leicester,1.0,3.0,1.6666666666666667,1.0,1.0,1.3333333333333333
120,1996-11-16,Blackburn,Chelsea,1.0,1.0,1.3333333333333333,1.0,2.0,1.0
121,1996-11-16,Everton,Southampton,7.0,1.0,3.3333333333333335,1.0,1.0,3.0
122,1996-11-16,Leeds,Liverpool,0.0,2.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333
123,1996-11-16,Man United,Arsenal,1.0,0.0,1.0,0.6666666666666666,1.3333333333333333,1.0
124,1996-11-16,Newcastle,West Ham,1.0,1.0,3.0,0.6666666666666666,0.6666666666666666,1.3333333333333333
125,1996-11-16,Tottenham,Sunderland,2.0,0.0,1.3333333333333333,0.0,0.0,2.6666666666666665
126,1996-11-16,Wimbledon,Coventry,2.0,2.0,2.6666666666666665,2.0,1.0,1.0
127,1996-11-17,Derby,Middlesbrough,2.0,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335
128,1996-11-18,Sheffield Weds,Nott'm Forest,2.0,0.0,1.3333333333333333,0.6666666666666666,0.0,2.0
129,1996-11-20,Liverpool,Everton,1.0,1.0,2.6666666666666665,1.0,1.0,0.6666666666666666
130,1996-11-23,Chelsea,Newcastle,1.0,1.0,2.0,2.0,0.6666666666666666,1.0
131,1996-11-23,Coventry,Aston Villa,1.0,2.0,0.6666666666666666,1.0,0.6666666666666666,1.0
132,1996-11-23,Leicester,Everton,1.0,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666
133,1996-11-23,Liverpool,Wimbledon,1.0,1.0,1.3333333333333333,1.0,1.6666666666666667,1.0
134,1996-11-23,Middlesbrough,Man United,2.0,2.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,4.333333333333333
135,1996-11-23,Southampton,Leeds,0.0,2.0,3.0,1.6666666666666667,0.6666666666666666,1.6666666666666667
136,1996-11-23,Sunderland,Sheffield Weds,1.0,1.0,1.3333333333333333,1.0,1.0,1.6666666666666667
137,1996-11-23,West Ham,Derby,1.0,1.0,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333
138,1996-11-24,Arsenal,Tottenham,3.0,1.0,2.0,0.3333333333333333,1.6666666666666667,2.0
139,1996-11-25,Nott'm Forest,Blackburn,2.0,2.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667
140,1996-11-30,Aston Villa,Middlesbrough,1.0,0.0,1.3333333333333333,1.0,0.6666666666666666,2.0
141,1996-11-30,Blackburn,Southampton,2.0,1.0,2.0,0.6666666666666666,1.0,3.3333333333333335
142,1996-11-30,Derby,Coventry,2.0,1.0,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667
143,1996-11-30,Everton,Sunderland,1.0,3.0,3.0,1.6666666666666667,1.0,2.0
144,1996-11-30,Man United,Leicester,3.0,1.0,1.6666666666666667,1.0,1.3333333333333333,2.0
145,1996-11-30,Newcastle,Arsenal,1.0,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333
146,1996-11-30,Sheffield Weds,West Ham,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
147,1996-11-30,Wimbledon,Nott'm Forest,1.0,0.0,1.6666666666666667,1.3333333333333333,0.0,1.6666666666666667
148,1996-01-12,Leeds,Chelsea,2.0,0.0,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333
149,1996-02-12,Tottenham,Liverpool,0.0,2.0,1.0,0.6666666666666666,1.3333333333333333,1.0
150,1996-03-12,Middlesbrough,Leicester,0.0,2.0,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333
151,1996-04-12,Arsenal,Southampton,3.0,1.0,3.0,0.6666666666666666,1.0,4.0
152,1996-04-12,West Ham,Aston Villa,0.0,2.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666
153,1996-07-12,Arsenal,Derby,2.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667
154,1996-07-12,Chelsea,Everton,2.0,2.0,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333
155,1996-07-12,Coventry,Tottenham,1.0,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.3333333333333335
156,1996-07-12,Leicester,Blackburn,1.0,1.0,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667
157,1996-07-12,Liverpool,Sheffield Weds,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333
158,1996-07-12,Middlesbrough,Leeds,0.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0
159,1996-07-12,Southampton,Aston Villa,0.0,1.0,2.0,2.0,1.6666666666666667,0.3333333333333333
160,1996-07-12,Sunderland,Wimbledon,1.0,3.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666
161,1996-08-12,West Ham,Man United,2.0,2.0,1.0,1.6666666666666667,2.3333333333333335,3.3333333333333335
162,1996-09-12,Nott'm Forest,Newcastle,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.0
163,1996-12-14,Leeds,Tottenham,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333
