,HomeTeamHomeForm,HomeTeamForm,HomeTeamSeasonWinPerc,AwayTeamAwayForm,AwayTeamForm,AwayTeamSeasonWinPerc,HomeElo,AwayElo,HomeScored,HomeConceded,AwayScored,AwayConceded,HomeGoals,AwayGoals
HomeTeamHomeForm,1.0,0.7083447077485734,0.710467706491198,0.002367022581950105,0.01524887339733779,0.0024417306929673034,0.4897340353838012,-0.007538725636591531,0.5128529827115471,-0.40109144289449566,0.010082487081801587,-0.012151728461663042,0.12110593973822104,-0.0908607864393024
HomeTeamForm,0.7083447077485734,1.0,0.5988573583216834,0.015188822211008323,0.023097622049911677,0.02707801686395341,0.5922346679244941,0.007024833346730049,0.7035086186814564,-0.5755240552554953,0.009736578724268403,-0.024174125776586505,0.13380357353228356,-0.11051656415308181
HomeTeamSeasonWinPerc,0.710467706491198,0.5988573583216834,1.0,-0.0015861037759923031,0.01839145442561484,0.002825412193809299,0.6116212284635522,0.0014400349027604736,0.49163793780352916,-0.3986843503034046,0.014937186581567558,-0.02276435996916289,0.16042002587434173,-0.11249156205301124
AwayTeamAwayForm,0.002367022581950105,0.015188822211008323,-0.0015861037759923031,1.0,0.6555182772473379,0.7033569981528538,-0.0012087348729457367,0.49787348623669464,0.01102071926002526,-0.007686027304967452,0.4663357986966302,-0.42212767366855725,-0.10032557194136375,0.12366010830326689
AwayTeamForm,0.01524887339733779,0.023097622049911677,0.01839145442561484,0.6555182772473379,1.0,0.5483127557899828,0.004286726279399602,0.5990367184722413,0.022447244193703548,-0.011544949276890037,0.7044398991779477,-0.5762030942073344,-0.1263721874662466,0.13527004638432916
AwayTeamSeasonWinPerc,0.0024417306929673034,0.02707801686395341,0.002825412193809299,0.7033569981528538,0.5483127557899828,1.0,0.0018853837703409597,0.5615598000484974,0.014622932502839412,-0.02543710985582598,0.44189252713061306,-0.37860251424110725,-0.11750595059045588,0.1329958039823483
HomeElo,0.4897340353838012,0.5922346679244941,0.6116212284635522,-0.0012087348729457367,0.004286726279399602,0.0018853837703409597,1.0,0.061171661328615345,0.5416286662254822,-0.4610729200650958,-0.0033313861256948647,0.0004361535628995501,0.24785180444794147,-0.17262725850147698
AwayElo,-0.007538725636591531,0.007024833346730049,0.0014400349027604736,0.49787348623669464,0.5990367184722413,0.5615598000484974,0.061171661328615345,1.0,0.0009939300266069188,-0.005908909868924914,0.550192728592593,-0.4594924063886519,-0.18632436423214863,0.22527139945508784
HomeScored,0.5128529827115471,0.7035086186814564,0.49163793780352916,0.01102071926002526,0.022447244193703548,0.014622932502839412,0.5416286662254822,0.0009939300266069188,1.0,-0.21053948411502285,0.015440514256598564,-0.009718629957582645,0.1461602337212175,-0.09853321838395472
HomeConceded,-0.40109144289449566,-0.5755240552554953,-0.3986843503034046,-0.007686027304967452,-0.011544949276890037,-0.02543710985582598,-0.4610729200650958,-0.005908909868924914,-0.21053948411502285,1.0,-0.00612110727956508,0.026766611931164343,-0.09916636700824681,0.10301745798357057
AwayScored,0.010082487081801587,0.009736578724268403,0.014937186581567558,0.4663357986966302,0.7044398991779477,0.44189252713061306,-0.0033313861256948647,0.550192728592593,0.015440514256598564,-0.00612110727956508,1.0,-0.21017634281793024,-0.11569016840964962,0.14216508439656678
AwayConceded,-0.012151728461663042,-0.024174125776586505,-0.02276435996916289,-0.42212767366855725,-0.5762030942073344,-0.37860251424110725,0.0004361535628995501,-0.4594924063886519,-0.009718629957582645,0.026766611931164343,-0.21017634281793024,1.0,0.11190736526574745,-0.10365696456791448
HomeGoals,0.12110593973822104,0.13380357353228356,0.16042002587434173,-0.10032557194136375,-0.1263721874662466,-0.11750595059045588,0.24785180444794147,-0.18632436423214863,0.1461602337212175,-0.09916636700824681,-0.11569016840964962,0.11190736526574745,1.0,-0.04650709540618683
AwayGoals,-0.0908607864393024,-0.11051656415308181,-0.11249156205301124,0.12366010830326689,0.13527004638432916,0.1329958039823483,-0.17262725850147698,0.22527139945508784,-0.09853321838395472,0.10301745798357057,0.14216508439656678,-0.10365696456791448,-0.04650709540618683,1.0
