HomeTeamHomeForm,HomeTeamForm,HomeTeamSeasonWinPerc,AwayTeamAwayForm,AwayTeamForm,AwayTeamSeasonWinPerc,HomeElo,AwayElo,HomeGoals,AwayGoals
0.3333333333333333,0.6,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,1660.76281738,1663.69921875,0,1
0.0,0.2,0.0,0.3333333333333333,0.4,0.3333333333333333,1585.74304199,1639.59155273,0,1
0.6666666666666666,0.2,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,1643.78442383,1650.16357422,2,2
0.3333333333333333,0.2,0.3333333333333333,0.0,0.4,0.0,1581.35205078,1627.44470215,0,2
0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.0,1559.10693359,1484.39819336,0,0
0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,1693.75134277,1678.89733887,0,1
0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.0,1573.69067383,1634.71020508,4,2
0.3333333333333333,0.6,0.3333333333333333,0.0,0.2,0.0,1706.15661621,1571.12658691,0,2
0.6666666666666666,0.2,0.6666666666666666,0.0,0.4,0.0,1652.37939453,1650.51843262,1,1
0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,1664.75366211,1699.44494629,2,0
0.6666666666666666,0.2,0.6666666666666666,0.3333333333333333,0.4,0.3333333333333333,1608.31311035,1734.74389648,1,2
0.6666666666666666,0.4,0.6666666666666666,0.0,0.2,0.0,1656.43273926,1657.85021973,2,1
0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,1675.49890137,1680.73742676,2,2
0.0,0.0,0.0,0.0,0.2,0.0,1640.97314453,1585.31713867,2,0
0.0,0.0,0.0,0.0,0.4,0.0,1505.33154297,1600.3807373,2,2
0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1669.05078125,1593.53393555,5,0
0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,1831.99060059,1723.41296387,1,0
0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,1690.42248535,1668.27648926,1,0
1.0,0.6,0.75,0.0,0.2,0.0,1719.63647461,1578.93212891,1,0
0.3333333333333333,0.4,0.25,0.0,0.2,0.0,1687.05236816,1647.3581543,1,1
0.6666666666666666,0.4,0.5,0.3333333333333333,0.2,0.5,1653.09448242,1690.08874512,1,0
0.3333333333333333,0.2,0.5,0.3333333333333333,0.6,0.25,1649.80334473,1662.13842773,0,2
0.6666666666666666,0.4,0.75,0.3333333333333333,0.2,0.5,1674.10986328,1683.1217041,1,5
0.6666666666666666,0.8,0.75,0.0,0.0,0.0,1835.76721191,1505.48547363,4,2
0.6666666666666666,0.4,0.5,0.3333333333333333,0.4,0.25,1600.22680664,1590.23083496,2,0
0.0,0.0,0.0,0.6666666666666666,0.6,0.5,1584.66064453,1741.85302734,1,1
