,Date,HomeTeam,AwayTeam,FTHG,FTAG,HGFAvg,HGAAvg,AGFAvg,AGAAvg
37,2014-09-23,Ein Frankfurt,Mainz,2.0,2.0,1.0,1.0,2.3333333333333335,1.6666666666666667
38,2014-09-23,Hoffenheim,Freiburg,3.0,3.0,2.0,1.3333333333333333,1.3333333333333333,2.3333333333333335
40,2014-09-24,Dortmund,Stuttgart,2.0,2.0,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667
41,2014-09-24,Hannover,FC Koln,1.0,0.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333
42,2014-09-24,Hertha,Wolfsburg,1.0,0.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333
43,2014-09-24,Leverkusen,Augsburg,1.0,0.0,2.6666666666666665,1.6666666666666667,0.3333333333333333,1.0
44,2014-09-24,M'gladbach,Hamburg,1.0,0.0,2.0,0.6666666666666666,0.0,1.0
45,2014-09-26,Mainz,Hoffenheim,0.0,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333
46,2014-09-27,FC Koln,Bayern Munich,0.0,2.0,0.0,0.6666666666666666,1.0,0.3333333333333333
47,2014-09-27,Freiburg,Leverkusen,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333
48,2014-09-27,Paderborn,M'gladbach,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
49,2014-09-27,Schalke 04,Dortmund,2.0,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0
50,2014-09-27,Stuttgart,Hannover,1.0,0.0,0.3333333333333333,1.3333333333333333,0.0,1.0
51,2014-09-27,Wolfsburg,Werder Bremen,2.0,1.0,2.6666666666666665,1.3333333333333333,2.0,3.0
52,2014-09-28,Augsburg,Hertha,1.0,0.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,2.3333333333333335
53,2014-09-28,Hamburg,Ein Frankfurt,1.0,2.0,0.3333333333333333,1.6666666666666667,2.0,1.6666666666666667
54,2014-03-10,Hertha,Stuttgart,3.0,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.3333333333333335
55,2014-04-10,Bayern Munich,Hannover,4.0,0.0,3.3333333333333335,0.0,0.0,2.3333333333333335
56,2014-04-10,Dortmund,Hamburg,0.0,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0
57,2014-04-10,Ein Frankfurt,FC Koln,3.0,2.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333
